Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
525bc1cd520336ff0af7f415e91672a05267b0dc4e8b17aa3bdf553cddc209e3,2022-07,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
dbdb165da1f14c0d8dcb0b360818721c2fac7150ed81592584be92d2ad219794,2022-07,Gwent Police,Gwent Police,-3.024783,51.613296,On or near Medlock Close,W01001622,Newport 003F,Investigation complete; no suspect identified
cc1692ddd9338b477bd5379297b87dac60f1cb00d368c3628c8dd19fb1d31563,2022-07,Gwent Police,Gwent Police,-3.063753,51.724580,On or near Exeter Place,W01001486,Torfaen 002E,Investigation complete; no suspect identified
5c2b263c4c7e7e3760cf4739cbd25fc65c302e1c4af2414fa882e767bebdc1cf,2022-07,Gwent Police,Gwent Police,-3.062103,51.712267,On or near Gypsy Lane,W01001529,Torfaen 003B,Investigation complete; no suspect identified
743d7ea5d23a983f61d698db0b3c747f38de340233fdeab75be3610ee144c131,2022-07,Gwent Police,Gwent Police,-2.972724,51.579814,On or near Amelia Way,W01001644,Newport 013C,Investigation complete; no suspect identified
50ed5910fb33de6c3b7841853fc6cfb9ec2b63ae9da2af4755a1126839fe3389,2022-07,Gwent Police,Gwent Police,-3.202792,51.783158,On or near Tre Newydd,W01001456,Blaenau Gwent 004C,Investigation complete; no suspect identified
72d013527d7b88700327652c7a5f0e7b5e4bb618182ad3c5532a0746528ff3ce,2022-07,Gwent Police,Gwent Police,-3.227838,51.622650,On or near Bryngwennol,W01001366,Caerphilly 019A,Investigation complete; no suspect identified
5bc370a8019203fe5e8826cd42b91bd17fe8478e6de15486beb27b5d17eb4917,2022-07,Gwent Police,Gwent Police,-3.326968,51.591053,On or near Collins Terrace,W01001264,Rhondda Cynon Taf 022F,Investigation complete; no suspect identified
4ae46f50f34613097ef1b1648cec4261997229e6c22689f279559a4f7a80266a,2022-07,Gwent Police,Gwent Police,-3.211600,51.804027,On or near Heathfield Close,W01001441,Blaenau Gwent 001B,Investigation complete; no suspect identified
1e5f2d7a57527da8f11e415c10e8727df316c0af2034a080aeee10ef97c9e065,2022-07,Gwent Police,Gwent Police,-3.210896,51.662318,On or near Clos Claerwen,W01001388,Caerphilly 007D,Investigation complete; no suspect identified
768b0ae1dd4b8067c3c7b9ee21c908f0e784cf609030adfaca4c15d50576bbf9,2022-07,Gwent Police,Gwent Police,-3.091418,51.831980,On or near Elm Grove,W01001563,Monmouthshire 003C,Investigation complete; no suspect identified
5a50d694fc55772f2d49f07e790ebf840c0242fe585bc5550a687428791620d7,2022-07,Gwent Police,Gwent Police,-3.181139,51.738375,On or near York Terrace,W01001451,Blaenau Gwent 007B,Investigation complete; no suspect identified
fddbc4c6aab621206184713e1660ede0398319fb6ac138cb065aba984c653048,2022-07,Gwent Police,Gwent Police,-2.989197,51.584082,On or near ,W01001687,Newport 014D,Investigation complete; no suspect identified
8359b479ad67c8229af7f3b9c2f757a0db1b9a22c4022babac312caa175aa43f,2022-07,Gwent Police,Gwent Police,-2.950260,51.577381,On or near Fosse Close,W01001646,Newport 015E,Investigation complete; no suspect identified
dc0eebb7dd8ea9a309c0176c4c8c0c64055ea32bc31e554e16fa9d0a2018a435,2022-07,Gwent Police,Gwent Police,-2.955578,51.611434,On or near Church Street,W01001623,Newport 001A,Investigation complete; no suspect identified
8eea6e3eccec5ee55ef82bdfa172a03854d70c6d5f0da0e2b3c5749c23b93148,2022-07,Gwent Police,Gwent Police,-3.292348,51.767713,On or near Gladstone Terrace,W01001429,Caerphilly 001F,Investigation complete; no suspect identified
8831176f89a895c6fa024437d6cb63fbb0aa73e055f3e3f914900c70041e90dc,2022-07,Gwent Police,Gwent Police,-2.979785,51.741521,On or near Meadow Way,W01001555,Monmouthshire 006A,Investigation complete; no suspect identified
145e85e345b357cdeb364eb48128c95cde41f60bbb7339acd9d232edd0577f25,2022-07,Gwent Police,Gwent Police,-2.985680,51.580317,On or near Canal Terrace,W01001661,Newport 018C,Investigation complete; no suspect identified
8b37b6b74e5dfd5f760d97ea4a65eef2bbe0ac4bbaefbefd0109f4946a7f0c54,2022-07,Gwent Police,Gwent Police,-2.690781,51.698332,On or near Glynwood Lane,W01001583,Monmouthshire 007B,Investigation complete; no suspect identified
8664fb83333ea929f4a889410582cd9cf41c7fdeb685c8c136a1afe48bdb2b73,2022-07,Gwent Police,Gwent Police,-3.218128,51.591760,On or near ,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
dea4b699a83281110db16420cbb48c214fd4e3bb8b9c57ba1e12cdbe26d9212d,2022-07,Gwent Police,Gwent Police,-3.214406,51.485206,On or near Daisy Street,W01001717,Cardiff 035D,Investigation complete; no suspect identified
fa986989a101c627eb1686228db8f2a6172a8930a0cad046b0457c56a6162fb7,2022-07,Gwent Police,Gwent Police,-3.165960,51.593060,On or near Dickens Court,W01001345,Caerphilly 021C,Investigation complete; no suspect identified
5a8e7375269a01d51b934adf41284cac2b818f4719aca1b040aa7975b9715309,2022-07,Gwent Police,Gwent Police,-2.995634,51.589387,On or near Market Street,W01001685,Newport 014B,Investigation complete; no suspect identified
