Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c90b4cb70062b9ab0c69f1ce600c9e55015e35c72d1600de0674286668798d90,2022-08,Gwent Police,Gwent Police,-3.282492,51.748741,On or near North Rising,W01001406,Caerphilly 001D,Unable to prosecute suspect
78b1cc3ca26cc546e8ab7a3a04e0fc86c94591b89b34a684dd71ffb821850188,2022-08,Gwent Police,Gwent Police,-3.038694,51.692479,On or near ,W01001496,Torfaen 004B,Unable to prosecute suspect
950e920a27bac82d12423a7adf727d24aceae32ba0d895d95b83dd88933fefa3,2022-08,Gwent Police,Gwent Police,-2.996375,51.586278,On or near ,W01001687,Newport 014D,Suspect charged
14fd0fa5d2d3e959cc28ac9cc941aeb9b3dd39dc23fb1755673b5729f7a6bc57,2022-08,Gwent Police,Gwent Police,-2.979338,51.592788,On or near Fairoak Avenue,W01001691,Newport 011D,Unable to prosecute suspect
aab971b529ef36d415d91d4abc641461f81814bc7d82cb2acb09c6068bda003b,2022-08,Gwent Police,Gwent Police,-3.246509,51.769251,On or near ,W01001478,Blaenau Gwent 006C,Unable to prosecute suspect
32c76da88e78021298cf8d1a3bc8266fe2a4401b2e1604b3866a17e0f7307775,2022-08,Gwent Police,Gwent Police,-3.050286,51.645719,On or near Ruskin Close,W01001497,Torfaen 011A,Unable to prosecute suspect
5ef06d7152b0f8c5bf6879b5de87155a78f344bb17e1a10ffa79b63dfd06519c,2022-08,Gwent Police,Gwent Police,-2.976429,51.590402,On or near Victoria Court,W01001612,Newport 011B,Unable to prosecute suspect
f030e4bfedf94bdb71154eca14c5ab55c2ec623aad8057cc643127bfcae73d6b,2022-08,Gwent Police,Gwent Police,-3.027773,51.610770,On or near Lambourne Way,W01001617,Newport 003A,Suspect charged
9bd6933fc117d500b57ea8a16c663956bf4039f0390ae6680c16f7489e6eefa4,2022-08,Gwent Police,Gwent Police,-3.008413,51.685307,On or near Monmouth Close,W01001510,Torfaen 005A,Unable to prosecute suspect
35aca9bbc330e8e5da83ecbca105325f94ba999d78f481f6d57d37f1626e704a,2022-08,Gwent Police,Gwent Police,-3.027773,51.610770,On or near Lambourne Way,W01001617,Newport 003A,Suspect charged
60a4c9a6826f1ab91e07472d80ac01871acd091e617214f3309e6f333e6f971a,2022-08,Gwent Police,Gwent Police,-3.010402,51.649900,On or near Hensol Close,W01001507,Torfaen 008D,Unable to prosecute suspect
ced03020178cc89532c5a115114b52d524698e96f6269b4c3efb7f4d0c09420a,2022-08,Gwent Police,Gwent Police,-2.998944,51.586301,On or near Bailey Street,W01001685,Newport 014B,Unable to prosecute suspect
fca3ec95d9457b875ef87ef16d1ecb450889fc174746e86d63aec7c871a8ff3d,2022-08,Gwent Police,Gwent Police,-3.136562,51.733213,On or near Portland Street,W01001435,Blaenau Gwent 008A,Unable to prosecute suspect
8356041d8f6e40cc646aad447b460ad216224d50163298a31a8a09b133f064de,2022-08,Gwent Police,Gwent Police,-3.192975,51.798966,On or near Lansbury Terrace,W01001440,Blaenau Gwent 001A,Unable to prosecute suspect
d5b6e26c35c62638f2878b0dfabd262a8bf606acbb5dbb6b142250dcc6f22da8,2022-08,Gwent Police,Gwent Police,-3.046780,51.704330,On or near South View,W01001491,Torfaen 004A,Unable to prosecute suspect
fb01eaa2506de310b58762ad3d3783688762d2c785008696480b4532f82478f3,2022-08,Gwent Police,Gwent Police,-3.277664,51.783501,On or near ,W01001474,Blaenau Gwent 003C,Unable to prosecute suspect
f61d9a9cb4a4927feb4bb0fdb4ce3cb4aba3ce3618a71fefbcb699b5befacdd8,2022-08,Gwent Police,Gwent Police,-3.231430,51.604323,On or near ,W01001368,Caerphilly 019C,Unable to prosecute suspect
dae3830ae13e5424eed9c78df2b0616602bcec2efd670e6c39c29bf1db067c12,2022-08,Gwent Police,Gwent Police,-3.232918,51.654401,On or near Hengoed Crescent,W01001364,Caerphilly 012B,Unable to prosecute suspect
fdf20cd31034bd1c145a5d884bb45fa548ebe162d68081130a723ef2e1f36d47,2022-08,Gwent Police,Gwent Police,-3.230124,51.580554,On or near Melin Gwlan,W01001396,Caerphilly 023D,Unable to prosecute suspect
e66e053fe4a0db4be3a95e0d35989c3e5c93378cd0e8de72afca3a3f91549457,2022-08,Gwent Police,Gwent Police,-3.003217,51.596156,On or near Lambert Street,W01001684,Newport 006E,Unable to prosecute suspect
413b5175abe6e39e6934583ac35badc9c268a77c5c267614689b96b734e70a85,2022-08,Gwent Police,Gwent Police,-2.992081,51.586620,On or near Kingsway,W01001687,Newport 014D,Suspect charged
8b17034126f8b03004b246a9553e0a280f64bea2f84cd187770bdc80673ac020,2022-08,Gwent Police,Gwent Police,-3.133860,51.737492,On or near Victor Road,W01001455,Blaenau Gwent 008F,Unable to prosecute suspect
c90883c70c0305d99cccad3bfc426b32bde4997e2adc132142582e92a3993fbb,2022-08,Gwent Police,Gwent Police,-3.138963,51.730789,On or near Carlyle Street,W01001435,Blaenau Gwent 008A,Unable to prosecute suspect
b48bf61619079fd64daef88753bd08d90d6fecad4e0872e254e5e5f0bc1d6d0c,2022-08,Gwent Police,Gwent Police,-3.222236,51.571141,On or near Rectory Road,W01001424,Caerphilly 024C,Unable to prosecute suspect
eadfaf0a4c13668ab46b6ae77dea9a99643abf2ca6f85d53c86edb46c0b55a78,2022-08,Gwent Police,Gwent Police,-3.128466,51.674423,On or near Willow Court,W01001381,Caerphilly 010B,Unable to prosecute suspect
258d85e05f85daf3d4cf1001557f0016914069742f847cf60709c3616fcded4e,2022-08,Gwent Police,Gwent Police,-3.007107,51.612739,On or near Haldane Place,W01001654,Newport 002D,Unable to prosecute suspect
6236621ff5ae490a1f3e840a5818c104b300db020307d82a30fe8f8d2da520ee,2022-08,Gwent Police,Gwent Police,-3.243740,51.570222,On or near Emanuel Close,W01001398,Caerphilly 024A,Unable to prosecute suspect
852661d8b95c1abe0520b31eb10ce332daa1f9d90240e63cdfebf464f2eff8d4,2022-08,Gwent Police,Gwent Police,-3.138963,51.730789,On or near Carlyle Street,W01001435,Blaenau Gwent 008A,Unable to prosecute suspect
